a52dec 0.8.0-2
abseil-cpp 20240722.0-1
accounts-qml-module 0.7-6
accountsservice 23.13.9-2
acl 2.3.2-1
acpica 20240321-1
adobe-source-code-pro-fonts 2.042u+1.062i+1.026vf-2
adwaita-cursors 46.2-1
adwaita-icon-theme 46.2-1
adwaita-icon-theme-legacy 46.2-1
aha 0.5.1-3
aic94xx-firmware 30-10
akonadi-contacts 24.05.2-1
akonadi-mime 24.05.2-1
akonadi-notes 24.05.2-1
akonadi-search 24.05.2-1
alsa-card-profiles 1:1.2.2-1
alsa-lib 1.2.12-1
alsa-topology-conf 1.2.5.1-4
alsa-ucm-conf 1.2.12-1
alsi 0.4.9-1
aom 3.9.1-1
appmenu-gtk-module 24.05-1
appstream 1.0.3-1
appstream-glib 0.8.3-1
appstream-qt 1.0.3-1
arandr 0.1.11-3
archlinux-keyring 20240709-1
argon2 20190702-6
aribb24 1.0.3-4
ark 24.05.2-2
asciinema 2.4.0-3
assimp 5.4.2-1
ast-firmware 501-1
at-spi2-core 2.52.0-1
atkmm 2.28.4-1
attica 6.4.0-1
attr 2.5.2-1
audiotube 24.05.2-1
audit 4.0.1-3
autoconf 2.72-1
automake 1.17-1
avahi 1:0.8+r194+g3f79789-2
baloo 6.4.0-1
baloo-widgets 24.05.2-1
base 3-2
base-devel 1-1
bash 5.2.032-1
bash-completion 2.14.0-2
bat 0.24.0-2
bat-extras 2024.07.10-1
binutils 2.43+r4+g7999dae6961-1
bison 3.8.2-6
blas 3.12.0-5
bluedevil 1:6.1.4-1
bluez 5.77-1
bluez-cups 5.77-1
bluez-hid2hci 5.77-1
bluez-libs 5.77-1
bluez-qt 6.4.0-1
bluez-tools 0.2.0-6
bluez-utils 5.77-1
boost-libs 1.83.0-9
breeze 6.1.4-1
breeze-grub 6.1.4-1
breeze-gtk 6.1.4-1
breeze-icons 6.4.0-1
bridge-utils 1.7.1-2
brotli 1.1.0-2
btop 1.3.2-1
bubblewrap 0.9.0-1
bzip2 1.0.8-6
c-ares 1.33.0-1
ca-certificates 20240618-1
ca-certificates-mozilla 3.103-1
ca-certificates-utils 20240618-1
cairo 1.18.0-2
cairomm 1.14.5-1
cantarell-fonts 1:0.303.1-2
cblas 3.12.0-5
cdparanoia 10.2-9
cfitsio 1:4.4.1-1
chaotic-keyring 20230616-1
chaotic-mirrorlist 20240306-1
cifs-utils 7.0-4
clinfo 3.0.23.01.25-1
cmake 3.30.2-1
cmatrix 2.0-3
colord 1.4.7-2
colord-kde 24.05.2-1
composefs 1.0.4-1
containerd 1.7.20-1
convertlit 1.8-12
coreutils 9.5-1
cppdap 1.58.0-2
cracklib 2.10.2-1
cronie 1.7.2-1
cryptsetup 2.7.4-1
cups 2:2.4.10-1
cups-filters 2.0.0-2
curl 8.9.1-2
dav1d 1.4.3-1
db5.3 5.3.28-5
dbus 1.14.10-2
dbus-broker 36-4
dbus-broker-units 36-4
dbus-units 36-4
dconf 0.40.0-3
dconf-editor 45.0.1-1
ddcutil 2.1.4-1
debugedit 5.0-6
default-cursors 2-2
desktop-file-utils 0.27-1
device-mapper 2.03.25-2
dex 0.9.0-2
dialog 1:1.3_20240619-2
diffutils 3.10-1
discount 3.0.0.d-1
djvulibre 3.5.28-6
dkms 3.0.12-1
dmidecode 3.6-1
docbook-xml 4.5-10
docbook-xsl 1.79.2-8
docker 1:27.1.1-1
docker-buildx 0.16.2-1
docker-compose 2.29.1-1
dolphin 24.05.2-1
dolphin-plugins 24.05.2-1
double-conversion 3.3.0-2
downgrade 11.3.0-1.1
drkonqi 6.1.4-1
duf 0.8.1-3
duktape 2.7.0-7
e2fsprogs 1.47.1-4
ebook-tools 0.2.2-8
edid-decode-git r710.c370882-1
editorconfig-core-c 0.12.9-1
efibootmgr 18-3
efivar 39-1
egl-wayland 4:1.1.13.1-1
eglexternalplatform 1.1-3
electron30 30.3.1-1
elisa 24.05.2-1
enchant 2.8.0-1
exfatprogs 1.2.5-1
exiv2 0.28.3-1
expac 10-10
expat 2.6.2-1
extra-cmake-modules 6.4.0-1
eza 0.19.0-1
f2fs-tools 1.16.0-3
faad2 2.11.1-1
fakeroot 1.35-1
fastfetch 2.21.1-1
ffmpeg 2:7.0.1-2
ffmpeg4.4 4.4.4-6
ffmpegthumbs 24.05.2-1
